tweet_id	query
t741396569153523712	pattern3_agenda_is_wanted_by_entity
t744687846808780802	pattern3_agenda_is_wanted_by_entity
t744084177126064128	pattern3_agenda_is_wanted_by_entity
t734869743396478976	pattern3_agenda_is_wanted_by_entity
t737927438416633856	pattern3_agenda_is_wanted_by_entity
t741925201940779008	pattern3_agenda_is_wanted_by_entity
t743851751258873856	pattern3_agenda_is_wanted_by_entity
t744744552615968768	pattern3_agenda_is_wanted_by_entity
t738843406533853184	pattern3_agenda_is_wanted_by_entity
t742505517076074498	pattern3_agenda_is_wanted_by_entity
t742961693895077889	pattern3_agenda_is_wanted_by_entity
t745678866849488900	pattern3_agenda_is_wanted_by_entity
t736684070256660481	pattern3_agenda_is_wanted_by_entity
t728633938579734528	pattern3_agenda_is_wanted_by_entity
t742699749992759296	pattern3_agenda_is_wanted_by_entity
t745603514391396352	pattern3_agenda_is_wanted_by_entity
t743377760886743040	pattern3_agenda_is_wanted_by_entity
t740447036902932480	pattern3_agenda_is_wanted_by_entity
t741664583224590336	pattern3_agenda_is_wanted_by_entity
t742783960749596672	pattern3_agenda_is_wanted_by_entity
t742605809432035328	pattern3_agenda_is_wanted_by_entity
t729380602424770561	pattern3_agenda_is_wanted_by_entity
t739069781228261376	pattern3_agenda_is_wanted_by_entity
t745237964062621697	pattern3_agenda_is_wanted_by_entity
t732078209324486656	pattern3_agenda_is_wanted_by_entity
t730068140672094208	pattern3_ellipsis_hoping_concept
t739517080756719616	pattern3_ellipsis_hoping_concept
t745732011705278464	pattern3_ellipsis_hoping_concept
t745357229415669760	pattern3_ellipsis_hoping_concept
t745849690806226945	pattern3_ellipsis_hoping_concept
t739754098828972032	pattern3_ellipsis_hoping_concept
t745285791061020672	pattern3_ellipsis_hoping_concept
t740175254362988544	pattern3_ellipsis_hoping_concept
t737355009839538176	pattern3_ellipsis_hoping_concept
t745735519187902464	pattern3_ellipsis_hoping_concept
t745893498579259393	pattern3_ellipsis_hoping_concept
t745311698567860224	pattern3_ellipsis_hoping_concept
t734551869947842562	pattern3_ellipsis_hoping_concept
t738891224929570817	pattern3_ellipsis_hoping_concept
t744871603415162880	pattern3_ellipsis_hoping_concept
t735747785765486592	pattern3_ellipsis_hoping_concept
t746116892167802880	pattern3_ellipsis_hoping_concept
t731235323431297025	pattern3_ellipsis_hoping_concept
t741060016833171456	pattern3_ellipsis_hoping_concept
t745610359717847040	pattern3_ellipsis_hoping_concept
t741022377618878464	pattern3_ellipsis_hoping_concept
t741394295094140928	pattern3_ellipsis_hoping_concept
t745747683797766144	pattern3_ellipsis_hoping_concept
t739754612593467392	pattern3_ellipsis_hoping_concept
t732337486362337280	pattern3_ellipsis_hoping_concept
t743462100664721409	pattern3_entity_be_concept_supporter
t742623496442937344	pattern3_entity_be_concept_supporter
t744786245172101121	pattern3_entity_be_concept_supporter
t744133806681112576	pattern3_entity_be_concept_supporter
t746054391833182208	pattern3_entity_be_concept_supporter
t738989950398529536	pattern3_entity_be_concept_supporter
t742531043723468800	pattern3_entity_be_concept_supporter
t743208825365401600	pattern3_entity_be_concept_supporter
t743870880124665856	pattern3_entity_be_concept_supporter
t728570393104015361	pattern3_entity_be_concept_supporter
t741235767431864320	pattern3_entity_be_concept_supporter
t741343610587734016	pattern3_entity_be_concept_supporter
t735122123065327616	pattern3_entity_be_concept_supporter
t741000509125971969	pattern3_entity_be_concept_supporter
t742404958239096834	pattern3_entity_be_concept_supporter
t740042720857718784	pattern3_entity_be_concept_supporter
t734692950169489410	pattern3_entity_be_concept_supporter
t735760376004939777	pattern3_entity_be_concept_supporter
t744896156925370368	pattern3_entity_be_concept_supporter
t742631179640274944	pattern3_entity_be_concept_supporter
t743548933918568448	pattern3_entity_be_concept_supporter
t739891743466885122	pattern3_entity_be_concept_supporter
t735055603182100482	pattern3_entity_be_concept_supporter
t745617267359096833	pattern3_entity_be_concept_supporter
t734356868341075969	pattern3_entity_be_concept_supporter
t741402008113012736	pattern3_entity_comes_out_for_formula
t742770448614760448	pattern3_entity_comes_out_for_formula
t745430833104719872	pattern3_entity_comes_out_for_formula
t742627086595166208	pattern3_entity_comes_out_for_formula
t744290515579965440	pattern3_entity_comes_out_for_formula
t743382565604720640	pattern3_entity_comes_out_for_formula
t730806405645643777	pattern3_entity_comes_out_for_formula
t733377964193222657	pattern3_entity_comes_out_for_formula
t735008729687543808	pattern3_entity_comes_out_for_formula
t744839793935159297	pattern3_entity_comes_out_for_formula
t741021480876662784	pattern3_entity_comes_out_for_formula
t729753528344915969	pattern3_entity_comes_out_for_formula
t741296842860843008	pattern3_entity_comes_out_for_formula
t730741261091635200	pattern3_entity_comes_out_for_formula
t742674682592284672	pattern3_entity_comes_out_for_formula
t743711842971721728	pattern3_entity_comes_out_for_formula
t745236492512075776	pattern3_entity_comes_out_for_formula
t741317517239541760	pattern3_entity_comes_out_for_formula
t741425005435748353	pattern3_entity_comes_out_for_formula
t733546093087100928	pattern3_entity_comes_out_for_formula
t743930741608845312	pattern3_entity_comes_out_for_formula
t731603219445616640	pattern3_entity_comes_out_for_formula
t732219866145509377	pattern3_entity_comes_out_for_formula
t745618655480774656	pattern3_entity_comes_out_for_formula
t743954135335084033	pattern3_entity_comes_out_for_formula
t740163421027610624	pattern3_entity_have_desire_for_formula
t735006101356326912	pattern3_entity_have_desire_for_formula
t731393701046550528	pattern3_entity_have_desire_for_formula
t744688460741566466	pattern3_entity_have_desire_for_formula
t730741769420296193	pattern3_entity_have_desire_for_formula
t743017582358368256	pattern3_entity_have_desire_for_formula
t743848459149598720	pattern3_entity_have_desire_for_formula
t743437330137157632	pattern3_entity_have_desire_for_formula
t745698531072040960	pattern3_entity_have_desire_for_formula
t729314481197690880	pattern3_entity_have_desire_for_formula
t745345812255940608	pattern3_entity_have_desire_for_formula
t742689230305001473	pattern3_entity_have_desire_for_formula
t745180820722245632	pattern3_entity_have_desire_for_formula
t746032733365899265	pattern3_entity_have_desire_for_formula
t735863871974477825	pattern3_entity_have_desire_for_formula
t740942133692096512	pattern3_entity_have_desire_for_formula
t743787897778745344	pattern3_entity_have_desire_for_formula
t730361487605280768	pattern3_entity_have_desire_for_formula
t733782854216343552	pattern3_entity_have_desire_for_formula
t746085891756658692	pattern3_entity_have_desire_for_formula
t743130823461867520	pattern3_entity_have_desire_for_formula
t731148735829282816	pattern3_entity_have_desire_for_formula
t734399421916536832	pattern3_entity_have_desire_for_formula
t737026754552967172	pattern3_entity_have_desire_for_formula
t734867218119417856	pattern3_entity_have_desire_for_formula
t743417264200945664	pattern3_entity_in_favour_of_concept
t743956147590299648	pattern3_entity_in_favour_of_concept
t738450086137565184	pattern3_entity_in_favour_of_concept
t731930371911192576	pattern3_entity_in_favour_of_concept
t746061318583689216	pattern3_entity_in_favour_of_concept
t736662986002169856	pattern3_entity_in_favour_of_concept
t746129998914985984	pattern3_entity_in_favour_of_concept
t741440062861283328	pattern3_entity_in_favour_of_concept
t736460817894346752	pattern3_entity_in_favour_of_concept
t739114948920541188	pattern3_entity_in_favour_of_concept
t734130348506877953	pattern3_entity_in_favour_of_concept
t743126121995198464	pattern3_entity_in_favour_of_concept
t739424152482918400	pattern3_entity_in_favour_of_concept
t731608977495183360	pattern3_entity_in_favour_of_concept
t741169493137854464	pattern3_entity_in_favour_of_concept
t735717904600072193	pattern3_entity_in_favour_of_concept
t743161079782608896	pattern3_entity_in_favour_of_concept
t733696701865832449	pattern3_entity_in_favour_of_concept
t742998303525220352	pattern3_entity_in_favour_of_concept
t735003643922010113	pattern3_entity_in_favour_of_concept
t737288670537977861	pattern3_entity_in_favour_of_concept
t742628834206453760	pattern3_entity_in_favour_of_concept
t746089834003968000	pattern3_entity_in_favour_of_concept
t745782475851390976	pattern3_entity_in_favour_of_concept
t741639256230252544	pattern3_entity_in_favour_of_concept
t745673353520877569	pattern3_entity_is_for_agenda
t731565917382049792	pattern3_entity_is_for_agenda
t745921792229912577	pattern3_entity_is_for_agenda
t735833329593942016	pattern3_entity_is_for_agenda
t741590092012257280	pattern3_entity_is_for_agenda
t745608239904133120	pattern3_entity_is_for_agenda
t733912243306389504	pattern3_entity_is_for_agenda
t745762444946051072	pattern3_entity_is_for_agenda
t740314414625095682	pattern3_entity_is_for_agenda
t743885097745653760	pattern3_entity_is_for_agenda
t736326735822753792	pattern3_entity_is_for_agenda
t744287661121216512	pattern3_entity_is_for_agenda
t738718045405904896	pattern3_entity_is_for_agenda
t745543667180408835	pattern3_entity_is_for_agenda
t746097575699353601	pattern3_entity_is_for_agenda
t741928661721452544	pattern3_entity_is_for_agenda
t745531625769828352	pattern3_entity_is_for_agenda
t745885481095798788	pattern3_entity_is_for_agenda
t731150422514257920	pattern3_entity_is_for_agenda
t745306393742315522	pattern3_entity_is_for_agenda
t745206608767094788	pattern3_entity_is_for_agenda
t744892489220366336	pattern3_entity_is_for_agenda
t742620594647224320	pattern3_entity_is_for_agenda
t744231466775674880	pattern3_entity_is_for_agenda
t734312732741279744	pattern3_entity_is_for_agenda
t746121079920398336	pattern3_entity_much_prefers_concept
t738736423495471104	pattern3_entity_much_prefers_concept
t745618695079268352	pattern3_entity_much_prefers_concept
t745756805683351552	pattern3_entity_much_prefers_concept
t745277625904562176	pattern3_entity_much_prefers_concept
t744459838386806784	pattern3_entity_much_prefers_concept
t736843792150605824	pattern3_entity_much_prefers_concept
t734027118066143232	pattern3_entity_much_prefers_concept
t709876990615093248	pattern3_entity_much_prefers_concept
t741653901795983364	pattern3_entity_much_prefers_concept
t741188818775252992	pattern3_entity_much_prefers_concept
t737267593938149376	pattern3_entity_much_prefers_concept
t742029208524861440	pattern3_entity_much_prefers_concept
t734785206796816384	pattern3_entity_much_prefers_concept
t735902869866569728	pattern3_entity_much_prefers_concept
t746086220980174848	pattern3_entity_much_prefers_concept
t741723411467128832	pattern3_entity_much_prefers_concept
t733346415418716160	pattern3_entity_much_prefers_concept
t745689107465142272	pattern3_entity_much_prefers_concept
t738993844159688704	pattern3_entity_much_prefers_concept
t745525835424116737	pattern3_entity_much_prefers_concept
t740937665118375937	pattern3_entity_much_prefers_concept
t745251221007667201	pattern3_entity_much_prefers_concept
t730666645375594496	pattern3_entity_much_prefers_concept
t742105685761101828	pattern3_entity_much_prefers_concept
t737556516635480064	pattern3_entity_s_desire_to_1
t738657921085669376	pattern3_entity_s_desire_to_1
t735146861909147653	pattern3_entity_s_desire_to_1
t733716271699623936	pattern3_entity_s_desire_to_1
t733625077145571328	pattern3_entity_s_desire_to_1
t741233404021202944	pattern3_entity_s_desire_to_1
t745284326493917184	pattern3_entity_s_desire_to_1
t735187190745989120	pattern3_entity_s_desire_to_1
t739510391131275264	pattern3_entity_s_desire_to_1
t740960287810015232	pattern3_entity_s_desire_to_1
t733757207783739393	pattern3_entity_s_desire_to_1
t741152238719139841	pattern3_entity_s_desire_to_1
t745560848681164800	pattern3_entity_s_desire_to_1
t745215200303915008	pattern3_entity_s_desire_to_1
t733611639488937984	pattern3_entity_s_desire_to_1
t741638845150679040	pattern3_entity_s_desire_to_1
t731212891865661440	pattern3_entity_s_desire_to_1
t733622089849016323	pattern3_entity_s_desire_to_1
t742408865761886208	pattern3_entity_s_desire_to_1
t744573291625582592	pattern3_entity_s_desire_to_1
t744420106382483456	pattern3_entity_s_desire_to_1
t743615028817862656	pattern3_entity_s_desire_to_1
t739883217159880705	pattern3_entity_s_desire_to_1
t733611719671484416	pattern3_entity_s_desire_to_1
t742771141752819713	pattern3_entity_s_desire_to_1
t745599295546499072	pattern3_entity_say_yes_to_x
t741522469534715904	pattern3_entity_say_yes_to_x
t744468916387332097	pattern3_entity_say_yes_to_x
t728500205767806976	pattern3_entity_say_yes_to_x
t735970003875422208	pattern3_entity_say_yes_to_x
t743101784152002561	pattern3_entity_say_yes_to_x
t745674795539378176	pattern3_entity_say_yes_to_x
t737569239062577153	pattern3_entity_say_yes_to_x
t728636702621900803	pattern3_entity_say_yes_to_x
t736233852545466368	pattern3_entity_say_yes_to_x
t731095876219875328	pattern3_entity_say_yes_to_x
t745705253748768769	pattern3_entity_say_yes_to_x
t745319248218689536	pattern3_entity_say_yes_to_x
t735841440174100481	pattern3_entity_say_yes_to_x
t732148676135550976	pattern3_entity_say_yes_to_x
t731099771209928704	pattern3_entity_say_yes_to_x
t745656789555871745	pattern3_entity_say_yes_to_x
t739912615028240384	pattern3_entity_say_yes_to_x
t740298409475727360	pattern3_entity_say_yes_to_x
t745648721048776705	pattern3_entity_say_yes_to_x
t743142373702631425	pattern3_entity_say_yes_to_x
t731588561422573569	pattern3_entity_say_yes_to_x
t730678995025436672	pattern3_entity_say_yes_to_x
t733560312910086145	pattern3_entity_say_yes_to_x
t743339379326754820	pattern3_entity_say_yes_to_x
t745276415713644545	pattern3_entity_support_policy
t742609933628256256	pattern3_entity_support_policy
t745255107751743489	pattern3_entity_support_policy
t742227226414944256	pattern3_entity_support_policy
t739053258816278528	pattern3_entity_support_policy
t739385689238732801	pattern3_entity_support_policy
t740966719716524033	pattern3_entity_support_policy
t740247693902155776	pattern3_entity_support_policy
t744310939055456256	pattern3_entity_support_policy
t736917494607302656	pattern3_entity_support_policy
t738828341113937921	pattern3_entity_support_policy
t745211637859246080	pattern3_entity_support_policy
t734703229074837504	pattern3_entity_support_policy
t745532319675482112	pattern3_entity_support_policy
t737270397633220609	pattern3_entity_support_policy
t745937072666587137	pattern3_entity_support_policy
t742702733296304130	pattern3_entity_support_policy
t732261938307072001	pattern3_entity_support_policy
t745994457422635008	pattern3_entity_support_policy
t739051329440632832	pattern3_entity_support_policy
t730045997729107968	pattern3_entity_support_policy
t742778029026516992	pattern3_entity_support_policy
t729799591437144064	pattern3_entity_support_policy
t745634055933169666	pattern3_entity_support_policy
t742050655867666433	pattern3_entity_support_policy
t735828140270989312	pattern3_entity_supporter_of_concept
t739018377352630272	pattern3_entity_supporter_of_concept
t735046094476955648	pattern3_entity_supporter_of_concept
t745729545710505984	pattern3_entity_supporter_of_concept
t735069612992237568	pattern3_entity_supporter_of_concept
t733734341981941760	pattern3_entity_supporter_of_concept
t745502258310242305	pattern3_entity_supporter_of_concept
t744634644704858113	pattern3_entity_supporter_of_concept
t743168193309573120	pattern3_entity_supporter_of_concept
t746051918280134656	pattern3_entity_supporter_of_concept
t729010741790003200	pattern3_entity_supporter_of_concept
t735689969180643329	pattern3_entity_supporter_of_concept
t741012762281795584	pattern3_entity_supporter_of_concept
t736274675328749569	pattern3_entity_supporter_of_concept
t745408953895444480	pattern3_entity_supporter_of_concept
t745592222570020864	pattern3_entity_supporter_of_concept
t739775505088516096	pattern3_entity_supporter_of_concept
t743578273720995840	pattern3_entity_supporter_of_concept
t744780599911604225	pattern3_entity_supporter_of_concept
t732223987594473472	pattern3_entity_supporter_of_concept
t743443938090987520	pattern3_entity_supporter_of_concept
t731110695153061888	pattern3_entity_supporter_of_concept
t738494853441572864	pattern3_entity_supporter_of_concept
t742797740640325633	pattern3_entity_supporter_of_concept
t730491416447590400	pattern3_entity_supporter_of_concept
t744596098329776128	pattern3_entity_waiting_to_formula
t734300336257703936	pattern3_entity_waiting_to_formula
t746025885652877313	pattern3_entity_waiting_to_formula
t741865581394202624	pattern3_entity_waiting_to_formula
t744642868313206785	pattern3_entity_waiting_to_formula
t739764694681038848	pattern3_entity_waiting_to_formula
t741012140136501248	pattern3_entity_waiting_to_formula
t745190377209094144	pattern3_entity_waiting_to_formula
t742735210786263041	pattern3_entity_waiting_to_formula
t744630337108606977	pattern3_entity_waiting_to_formula
t742610105930244096	pattern3_entity_waiting_to_formula
t734904060516675585	pattern3_entity_waiting_to_formula
t730105230461947905	pattern3_entity_waiting_to_formula
t740298940151521282	pattern3_entity_waiting_to_formula
t744620057456680961	pattern3_entity_waiting_to_formula
t743024022586281985	pattern3_entity_waiting_to_formula
t734854702970642432	pattern3_entity_waiting_to_formula
t743551851610648580	pattern3_entity_waiting_to_formula
t739377594706055168	pattern3_entity_waiting_to_formula
t746103705049640960	pattern3_entity_waiting_to_formula
t730848813355671552	pattern3_entity_waiting_to_formula
t740920843816054784	pattern3_entity_waiting_to_formula
t735165483020746752	pattern3_entity_waiting_to_formula
t734712419491123200	pattern3_entity_waiting_to_formula
t741549585466822656	pattern3_entity_waiting_to_formula
t732963902703734784	pattern3_entity_wants_more_concept
t744866915168960512	pattern3_entity_wants_more_concept
t745709066912161792	pattern3_entity_wants_more_concept
t745953113408999425	pattern3_entity_wants_more_concept
t731099336847855616	pattern3_entity_wants_more_concept
t740284929334992896	pattern3_entity_wants_more_concept
t741601137044955136	pattern3_entity_wants_more_concept
t733991049400594433	pattern3_entity_wants_more_concept
t744241025657376768	pattern3_entity_wants_more_concept
t737255252060164096	pattern3_entity_wants_more_concept
t731958440076136450	pattern3_entity_wants_more_concept
t743678573622394880	pattern3_entity_wants_more_concept
t741383889978019840	pattern3_entity_wants_more_concept
t734687322491523072	pattern3_entity_wants_more_concept
t745485101857812480	pattern3_entity_wants_more_concept
t742423383657336833	pattern3_entity_wants_more_concept
t739916037542584320	pattern3_entity_wants_more_concept
t746041169465970688	pattern3_entity_wants_more_concept
t742944215781548032	pattern3_entity_wants_more_concept
t740898532274634752	pattern3_entity_wants_more_concept
t730762471330463744	pattern3_entity_wants_more_concept
t742773926758125568	pattern3_entity_wants_more_concept
t745065438564999168	pattern3_entity_wants_more_concept
t742966213450555392	pattern3_entity_wants_more_concept
t735963212227678208	pattern3_entity_wants_more_concept
t745293190547279872	pattern3_entity_wants_name_to_action
t746114936854609924	pattern3_entity_wants_name_to_action
t745998528116297728	pattern3_entity_wants_name_to_action
t745432033359339520	pattern3_entity_wants_name_to_action
t741524232849481728	pattern3_entity_wants_name_to_action
t732080916282126337	pattern3_entity_wants_name_to_action
t741218405496283136	pattern3_entity_wants_name_to_action
t729065039550947329	pattern3_entity_wants_name_to_action
t745369697655398401	pattern3_entity_wants_name_to_action
t740913026988134401	pattern3_entity_wants_name_to_action
t731812555501371393	pattern3_entity_wants_name_to_action
t745584652232990721	pattern3_entity_wants_name_to_action
t731416987000287232	pattern3_entity_wants_name_to_action
t735360942784008192	pattern3_entity_wants_name_to_action
t734135702493925376	pattern3_entity_wants_name_to_action
t738808810928779264	pattern3_entity_wants_name_to_action
t738849877841575936	pattern3_entity_wants_name_to_action
t737426994477072385	pattern3_entity_wants_name_to_action
t745867860744994817	pattern3_entity_wants_name_to_action
t741687812127358976	pattern3_entity_wants_name_to_action
t744860252156334080	pattern3_entity_wants_name_to_action
t745678759114711041	pattern3_entity_wants_name_to_action
t746048074309472256	pattern3_entity_wants_name_to_action
t744601273605959680	pattern3_entity_wants_name_to_action
t739485239169404928	pattern3_entity_wants_name_to_action
t745952087909994496	pattern3_entity_wants_their_concept_back
t743328921316298752	pattern3_entity_wants_their_concept_back
t738642021540343808	pattern3_entity_wants_their_concept_back
t731768883758170112	pattern3_entity_wants_their_concept_back
t746055220317265924	pattern3_entity_wants_their_concept_back
t736664047953842176	pattern3_entity_wants_their_concept_back
t738762591963512832	pattern3_entity_wants_their_concept_back
t743601049672515584	pattern3_entity_wants_their_concept_back
t734196342571044868	pattern3_entity_wants_their_concept_back
t743110927579512832	pattern3_entity_wants_their_concept_back
t733676938032783360	pattern3_entity_wants_their_concept_back
t743734737106141184	pattern3_entity_wants_their_concept_back
t730647250741891073	pattern3_entity_wants_their_concept_back
t740051160309071872	pattern3_entity_wants_their_concept_back
t736604623973142536	pattern3_entity_wants_their_concept_back
t735446822504792064	pattern3_entity_wants_their_concept_back
t744126673784799233	pattern3_entity_wants_their_concept_back
t744241544874590208	pattern3_entity_wants_their_concept_back
t745681143249403906	pattern3_entity_wants_their_concept_back
t739075151829061632	pattern3_entity_wants_their_concept_back
t743527434344095745	pattern3_entity_wants_their_concept_back
t745527503217795076	pattern3_entity_wants_their_concept_back
t741849987961749504	pattern3_entity_wants_their_concept_back
t743462290507317248	pattern3_entity_wants_their_concept_back
t733675927268364289	pattern3_entity_wants_their_concept_back
t744761426120671232	pattern3_entity_wish_concept_would_action
t743191649593999361	pattern3_entity_wish_concept_would_action
t730989362280718338	pattern3_entity_wish_concept_would_action
t739030628058992640	pattern3_entity_wish_concept_would_action
t742733450344534016	pattern3_entity_wish_concept_would_action
t732310200737255424	pattern3_entity_wish_concept_would_action
t744906156766859265	pattern3_entity_wish_concept_would_action
t744449725500370944	pattern3_entity_wish_concept_would_action
t745684899709976577	pattern3_entity_wish_concept_would_action
t731452255338156032	pattern3_entity_wish_concept_would_action
t729727195749466112	pattern3_entity_wish_concept_would_action
t733426508254023680	pattern3_entity_wish_concept_would_action
t733002593388089344	pattern3_entity_wish_concept_would_action
t743164298051084289	pattern3_entity_wish_concept_would_action
t742836663211200512	pattern3_entity_wish_concept_would_action
t743130234040528896	pattern3_entity_wish_concept_would_action
t738839969364598784	pattern3_entity_wish_concept_would_action
t735394707610738688	pattern3_entity_wish_concept_would_action
t735770145646219264	pattern3_entity_wish_concept_would_action
t736205824759042048	pattern3_entity_wish_concept_would_action
t729738085395730433	pattern3_entity_wish_concept_would_action
t740899441696112641	pattern3_entity_wish_concept_would_action
t742156020764561408	pattern3_entity_wish_concept_would_action
t744659149221433344	pattern3_entity_wish_concept_would_action
t745949226937442304	pattern3_entity_wish_concept_would_action
t746055340190482432	pattern3_name_for_policy
t741022324338655236	pattern3_name_for_policy
t733386344236503041	pattern3_name_for_policy
t745352290975031296	pattern3_name_for_policy
t735432592313442304	pattern3_name_for_policy
t743057096749486080	pattern3_name_for_policy
t746101629997486080	pattern3_name_for_policy
t746127287708426244	pattern3_name_for_policy
t745912676786839552	pattern3_name_for_policy
t729653522862641153	pattern3_name_for_policy
t745982040223342597	pattern3_name_for_policy
t742307836881993728	pattern3_name_for_policy
t745631822407680001	pattern3_name_for_policy
t743408220883001348	pattern3_name_for_policy
t743436993749786624	pattern3_name_for_policy
t739363520601567232	pattern3_name_for_policy
t744704625132044288	pattern3_name_for_policy
t745263699829489666	pattern3_name_for_policy
t741728471706181632	pattern3_name_for_policy
t746051709009559552	pattern3_name_for_policy
t732243928221667328	pattern3_name_for_policy
t740295942402932740	pattern3_name_for_policy
t734386119383625730	pattern3_name_for_policy
t733963073891995648	pattern3_name_for_policy
t743064381328478213	pattern3_name_for_policy
t745623524203704320	pattern3_positive_entity_supports_concept
t740292748000014336	pattern3_positive_entity_supports_concept
t730375838366044160	pattern3_positive_entity_supports_concept
t740969842631659521	pattern3_positive_entity_supports_concept
t738774531914010624	pattern3_positive_entity_supports_concept
t743578523462311937	pattern3_positive_entity_supports_concept
t746092885859274752	pattern3_positive_entity_supports_concept
t744782030546706432	pattern3_positive_entity_supports_concept
t736095347693346817	pattern3_positive_entity_supports_concept
t744455501367418880	pattern3_positive_entity_supports_concept
t745637905188687872	pattern3_positive_entity_supports_concept
t731900944825389056	pattern3_positive_entity_supports_concept
t745287168399187968	pattern3_positive_entity_supports_concept
t739895992586260486	pattern3_positive_entity_supports_concept
t743421835048587264	pattern3_positive_entity_supports_concept
t692041332991377408	pattern3_positive_entity_supports_concept
t733414319921078277	pattern3_positive_entity_supports_concept
t732213900360466434	pattern3_positive_entity_supports_concept
t744509276585066497	pattern3_positive_entity_supports_concept
t739963591969890304	pattern3_positive_entity_supports_concept
t730807700616007681	pattern3_positive_entity_supports_concept
t741562742256107520	pattern3_positive_entity_supports_concept
t732280362173353984	pattern3_positive_entity_supports_concept
t741624631510073345	pattern3_positive_entity_supports_concept
t742776141799403520	pattern3_positive_entity_supports_concept
t736634152888508416	pattern3_why_does_entity_want_concept
t746106813947449348	pattern3_why_does_entity_want_concept
t741927041314983936	pattern3_why_does_entity_want_concept
t736086257562882049	pattern3_why_does_entity_want_concept
t742447728370798593	pattern3_why_does_entity_want_concept
t745976218412027904	pattern3_why_does_entity_want_concept
t735530459652706304	pattern3_why_does_entity_want_concept
t745550900911955968	pattern3_why_does_entity_want_concept
t738857507968417792	pattern3_why_does_entity_want_concept
t736160949883797506	pattern3_why_does_entity_want_concept
t742164200047280128	pattern3_why_does_entity_want_concept
t742725309888237568	pattern3_why_does_entity_want_concept
t733410361009901569	pattern3_why_does_entity_want_concept
t745535811156770816	pattern3_why_does_entity_want_concept
t742845491155734530	pattern3_why_does_entity_want_concept
t735568983957602305	pattern3_why_does_entity_want_concept
t744814074827968512	pattern3_why_does_entity_want_concept
t739749743203655680	pattern3_why_does_entity_want_concept
t743856205383204865	pattern3_why_does_entity_want_concept
t745681032318328833	pattern3_why_does_entity_want_concept
t730292412946493440	pattern3_why_does_entity_want_concept
t739188281846444033	pattern3_why_does_entity_want_concept
t738815200791547904	pattern3_why_does_entity_want_concept
t740329172657180673	pattern3_why_does_entity_want_concept
t731598477201948672	pattern3_why_does_entity_want_concept
